ip,commands,unique,severity,intensity,diversity,total
188.166.216.131,42,14,1.0779115292903336,2.7220535652492526,2.8107632110341454,6.610728305573732
45.156.87.209,61,12,0.9250037485795386,2.986887302326689,2.6622347285822894,6.574125779488517
138.99.80.102,75,14,0.6283406138452683,3.1342358200731963,2.8107632110341454,6.57333964495261
134.199.164.144,888,2,0.5,4.914125231252544,1.1402813001478027,6.554406531400346
91.92.40.8,476,3,0.4999999999999302,4.4635514560119125,1.4388747994087887,6.402426255420631
183.110.116.87,59,14,0.6283406138452683,2.9631566707799135,2.8107632110341454,6.402260495659327
103.42.74.124,40,14,0.8966422823683153,2.687584221271484,2.8107632110341454,6.394989714673945
2.57.122.208,1329,1,0.5,5,0.7194373997043944,6.219437399704394
80.94.92.186,1064,1,0.5,5,0.7194373997043944,6.219437399704394
176.65.139.103,1370,1,0.5,5,0.7194373997043944,6.219437399704394
176.65.132.254,2740,1,0.5,5,0.7194373997043944,6.219437399704394
192.109.200.237,1370,1,0.5,5,0.7194373997043944,6.219437399704394
45.156.87.99,2054,1,0.5,5,0.7194373997043944,6.219437399704394
45.153.34.71,2967,1,0.5,5,0.7194373997043944,6.219437399704394
176.65.132.17,4338,1,0.5,5,0.7194373997043944,6.219437399704394
192.109.200.78,13076,1,0.5,5,0.7194373997043944,6.219437399704394
45.156.87.204,4414,1,0.5,5,0.7194373997043944,6.219437399704394
176.65.132.24,3615,1,0.5,5,0.7194373997043944,6.219437399704394
45.156.87.254,1446,1,0.5,5,0.7194373997043944,6.219437399704394
45.156.87.253,3691,1,0.5,5,0.7194373997043944,6.219437399704394
176.65.132.129,3500,1,0.5,5,0.7194373997043944,6.219437399704394
45.153.34.112,2930,1,0.5,5,0.7194373997043944,6.219437399704394
45.153.34.149,11580,1,0.5,5,0.7194373997043944,6.219437399704394
176.65.132.149,1555,1,0.5,5,0.7194373997043944,6.219437399704394
45.156.87.216,1652,1,0.5,5,0.7194373997043944,6.219437399704394
45.153.34.186,2320,1,0.5,5,0.7194373997043944,6.219437399704394
192.109.200.220,1559,1,0.5,5,0.7194373997043944,6.219437399704394
91.92.42.61,1421,1,0.5,5,0.7194373997043944,6.219437399704394
45.156.87.34,1521,1,0.5,5,0.7194373997043944,6.219437399704394
45.153.34.181,1413,1,0.5,5,0.7194373997043944,6.219437399704394
155.103.69.40,1353,1,0.5,5,0.7194373997043944,6.219437399704394
176.65.139.217,1522,1,0.5,5,0.7194373997043944,6.219437399704394
176.65.139.249,1316,1,0.5,5,0.7194373997043944,6.219437399704394
91.92.42.133,1010,1,0.5,5,0.7194373997043944,6.219437399704394
176.65.139.105,925,1,0.5,4.9436363374032215,0.7194373997043944,6.163073737107616
2.57.122.238,903,1,0.5,4.926234594960435,0.7194373997043944,6.145671994664829
187.85.187.100,39,14,0.6283406138452683,2.6697136980157583,2.8107632110341454,6.108817522895172
217.60.39.166,39,14,0.6283406138452683,2.6697136980157583,2.8107632110341454,6.108817522895172
172.203.134.70,39,14,0.6283406138452683,2.6697136980157583,2.8107632110341454,6.108817522895172
193.32.162.145,822,1,0.5,4.85829676628242,0.7194373997043944,6.077734165986814
2.57.122.96,791,1,0.5,4.830509697491386,0.7194373997043944,6.04994709719578
91.92.42.7,761,1,0.5,4.802563390695701,0.7194373997043944,6.022000790400095
91.92.42.147,761,1,0.5,4.802563390695701,0.7194373997043944,6.022000790400095
176.65.139.222,761,1,0.5,4.802563390695701,0.7194373997043944,6.022000790400095
91.92.40.239,761,1,0.5,4.802563390695701,0.7194373997043944,6.022000790400095
45.153.34.144,761,1,0.5,4.802563390695701,0.7194373997043944,6.022000790400095
176.65.139.218,761,1,0.5,4.802563390695701,0.7194373997043944,6.022000790400095
45.153.34.114,761,1,0.5,4.802563390695701,0.7194373997043944,6.022000790400095
45.156.87.166,760,1,0.5,4.801613003927819,0.7194373997043944,6.021050403632213
91.92.42.10,756,1,0.5,4.797798927011949,0.7194373997043944,6.017236326716343
176.65.139.211,756,1,0.5,4.797798927011949,0.7194373997043944,6.017236326716343
91.92.42.64,756,1,0.5,4.797798927011949,0.7194373997043944,6.017236326716343
68.183.237.35,420,2,0.4999999999996543,4.3731707280840215,1.1402813001478027,6.0134520282314785
91.92.40.233,276,3,0.4999994921842645,4.0702106861757645,1.4388747994087887,6.0090849777688184
203.189.188.153,36,8,1.0598282497905434,2.613291416461397,2.280562600295606,5.953682266547546
80.94.92.182,671,1,0.5,4.711600388549636,0.7194373997043944,5.93103778825403
