ip,commands,unique,severity_old,severity_new,intensity,diversity,total_old,total_new,risk_level_old,risk_level_new,persistence_backdoor_hits,dropper_execution_hits,successful_logins,commands_per_login,activity_span_minutes,max_commands_5s,max_commands_1min,burst_10plus_5s,temporal_level,mitigation_decision_old,mitigation_decision_new
177.36.200.182,6,3,0.3381,0.3381,0.8782,1.0,2.2164,2.2164,LOW,LOW,0,0,2,3.0,0.5643371979395548,4,6,0,NORMAL,NO_ACTION,NO_ACTION
101.99.6.166,6,3,0.3381,0.3381,0.8782,1.0,2.2164,2.2164,LOW,LOW,0,0,2,3.0,0.5198015689849853,4,6,0,NORMAL,NO_ACTION,NO_ACTION
64.227.165.219,15,2,0.4025,0.4025,1.2238,0.585,2.2112,2.2112,LOW,LOW,0,0,5,3.0,34.758937199910484,3,3,0,NORMAL,NO_ACTION,NO_ACTION
134.209.184.57,15,2,0.4025,0.4025,1.2238,0.585,2.2112,2.2112,LOW,LOW,0,0,5,3.0,4.379412082831065,3,6,0,NORMAL,NO_ACTION,NO_ACTION
152.32.162.42,9,2,0.5881,2.1738,1.0374,0.585,2.2105,3.7961,LOW,LOW,9,0,10,0.9,55617.67566571633,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
103.183.74.214,46,1,0.0,1.9846,2.1925,0.0,2.1925,4.1771,LOW,MEDIUM,47,0,46,1.0,10939.91866433223,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
185.158.22.150,46,1,0.0,1.9846,2.1925,0.0,2.1925,4.1771,LOW,MEDIUM,47,0,51,0.9019607843137255,89476.14623334804,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
165.22.214.133,46,1,0.0,0.0,2.1925,0.0,2.1925,2.1925,LOW,LOW,0,0,46,1.0,8372.234399632613,1,1,0,NORMAL,NO_ACTION,NO_ACTION
143.110.240.17,33,1,0.4742,0.4742,1.7125,0.0,2.1867,2.1867,LOW,LOW,0,0,33,1.0,129.83904896577198,1,2,0,NORMAL,NO_ACTION,NO_ACTION
103.247.50.143,5,3,0.3523,0.3523,0.8054,1.0,2.1577,2.1577,LOW,LOW,0,0,1,5.0,0.6546341180801392,2,5,0,NORMAL,NO_ACTION,NO_ACTION
156.232.13.218,44,1,0.0,1.9846,2.1244,0.0,2.1244,4.109,LOW,MEDIUM,47,0,44,1.0,14423.335517700512,2,2,0,NORMAL,NO_ACTION,BASE_SCORE_REVIEW
157.15.77.139,44,1,0.0,0.0,2.1244,0.0,2.1244,2.1244,LOW,LOW,0,0,44,1.0,26672.90322664976,1,1,0,NORMAL,NO_ACTION,NO_ACTION
206.189.143.230,12,2,0.3897,0.3897,1.1376,0.585,2.1123,2.1123,LOW,LOW,0,0,4,3.0,5.85133128563563,3,3,0,NORMAL,NO_ACTION,NO_ACTION
67.207.88.23,32,1,0.4301,0.4301,1.6714,0.0,2.1016,2.1016,LOW,LOW,0,0,32,1.0,6.883990001678467,2,10,0,NORMAL,NO_ACTION,NO_ACTION
195.178.110.26,30,1,0.5,0.5,1.5872,0.0,2.0872,2.0872,LOW,LOW,0,0,30,1.0,738.5980017503102,1,1,0,NORMAL,NO_ACTION,NO_ACTION
